"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.812367000E-2,8.973085135E-2,7.830511928E-1,9.842875481E0,9.874381931E0
2.019836500E-2,9.930214286E-2,8.069794178E-1,9.823135376E0,9.856726907E0
2.222894700E-2,1.471585929E-1,8.548358679E-1,9.817750931E0,9.855994793E0
2.426060500E-2,1.710868180E-1,8.596215248E-1,9.836894035E0,9.875864728E0
2.629294100E-2,1.758724600E-1,8.739784956E-1,9.836894035E0,9.877208806E0
2.832509700E-2,1.956132501E-1,8.787640929E-1,9.879366875E0,9.920301443E0
3.038882700E-2,2.099701911E-1,8.691928387E-1,9.893723488E0,9.934049936E0
3.247365600E-2,2.099701911E-1,8.404789567E-1,9.898509026E0,9.936346073E0
3.454742700E-2,2.297109663E-1,8.452646136E-1,9.941579819E0,9.980092619E0
3.662217500E-2,2.350948304E-1,8.015955687E-1,9.970293999E0,1.000522801E1
3.869455200E-2,2.303091735E-1,7.872386575E-1,9.989436150E0,1.002305450E1
4.076813100E-2,2.117647976E-1,7.680960894E-1,1.002772141E1,1.005932465E1
4.284149500E-2,2.021935135E-1,7.537391186E-1,1.002772141E1,1.005804163E1
4.491385200E-2,1.968096644E-1,7.345965505E-1,1.002353382E1,1.005234283E1
4.699024800E-2,1.776670814E-1,7.010970116E-1,1.000917721E1,1.003527434E1
4.906029500E-2,1.627119333E-1,6.867401004E-1,9.957133293E0,9.982113532E0
5.112195100E-2,1.381855011E-1,7.357929349E-1,9.436694145E0,9.466344747E0
5.321352500E-2,1.082752272E-1,7.938188910E-1,9.360123634E0,9.394348642E0
5.528840500E-2,4.845465720E-2,7.836494446E-1,9.589835167E0,9.621922512E0
5.736602200E-2,1.136590727E-2,7.692924738E-1,9.695717812E0,9.726195761E0
5.943606900E-2,2.572284266E-2,7.214360237E-1,9.686145782E0,9.713009406E0
6.151076600E-2,1.471585929E-1,8.075776696E-1,9.416953087E0,9.452663264E0
6.358432400E-2,2.727817893E-1,9.954141974E-1,9.071788788E0,9.130312762E0
6.565851300E-2,2.219343036E-1,1.095314622E0,9.219545364E0,9.287033201E0
6.773253800E-2,1.986042857E-1,1.147956610E0,9.267401695E0,9.340341654E0
6.980459900E-2,1.992024779E-1,1.124028444E0,9.310472488E0,9.380192937E0
7.187168800E-2,2.560320199E-1,1.076171994E0,9.276973724E0,9.342694474E0
7.395541800E-2,2.745763958E-1,1.004387259E0,9.214759827E0,9.273401999E0
7.602990100E-2,2.787638307E-1,9.278169870E-1,9.186644554E0,9.237585821E0
7.810731300E-2,2.596212626E-1,8.943174481E-1,9.191430092E0,9.238484401E0
8.017817600E-2,2.075773627E-1,8.799605370E-1,9.215956688E0,9.260198517E0
8.225160200E-2,1.597209126E-1,8.656035662E-1,9.226125717E0,9.268018993E0
8.432319600E-2,1.357926875E-1,8.703892231E-1,9.240483284E0,9.282378379E0
8.640141200E-2,1.256231815E-1,8.608179688E-1,9.206983566E0,9.247990871E0
8.847712600E-2,1.351944804E-1,8.321040869E-1,9.178269386E0,9.216903151E0
9.055013400E-2,1.112662554E-1,8.177471161E-1,9.169296265E0,9.206361090E0
9.262276600E-2,1.202393398E-1,8.033902049E-1,9.150154114E0,9.186142478E0
9.469435100E-2,8.195417374E-2,7.794619799E-1,9.126823425E0,9.160413926E0
9.677219200E-2,6.699903309E-2,7.603194118E-1,9.112466812E0,9.144376735E0
9.884621600E-2,5.742774159E-2,7.363911867E-1,9.112466812E0,9.142353161E0
1.009212380E-1,2.931207791E-2,7.028916478E-1,9.127422333E0,9.154493667E0
1.029951420E-1,1.914258115E-2,6.646065116E-1,9.113064766E0,9.137287217E0
1.050699610E-1,-4.785645287E-3,6.454638839E-1,9.108877182E0,9.131718899E0
1.071432650E-1,-2.871387079E-2,6.167500615E-1,9.128020287E0,9.148877498E0
1.092175750E-1,-4.785645381E-2,6.071787477E-1,9.114261627E0,9.134589278E0
1.112923330E-1,-8.554340899E-2,5.784648657E-1,9.142974854E0,9.161655333E0
1.133658090E-1,-8.614161611E-2,5.593222976E-1,9.114859581E0,9.132410798E0
1.154423670E-1,-1.052841991E-1,5.401797295E-1,9.095717430E0,9.112351753E0
1.175231790E-1,-1.106680483E-1,5.353940725E-1,9.090931892E0,9.107356197E0
1.195887700E-1,-1.393819153E-1,5.066801906E-1,9.081958771E0,9.097149402E0
1.216637120E-1,-1.776670814E-1,4.827519655E-1,9.092127800E0,9.106668051E0
1.237348680E-1,-2.159522474E-1,4.929214716E-1,9.053842545E0,9.069822036E0
1.258121800E-1,-2.356930375E-1,4.594219327E-1,9.049654961E0,9.064373924E0
1.278861140E-1,-2.548356056E-1,4.642075896E-1,9.020941734E0,9.036471637E0
1.299597520E-1,-2.739782035E-1,4.546363056E-1,9.002396584E0,9.018032073E0
1.320337380E-1,-3.032902777E-1,4.546363056E-1,8.959325790E0,8.975978932E0
1.341079060E-1,-3.134597540E-1,4.163511395E-1,8.950352669E0,8.965512712E0
1.361825420E-1,-3.421736360E-1,4.307080805E-1,8.916853905E0,8.933805225E0
1.382575930E-1,-3.661018610E-1,4.019941986E-1,8.907880783E0,8.924459085E0
1.403309890E-1,-3.954139352E-1,4.163511395E-1,8.874381065E0,8.892937633E0
1.424052790E-1,-4.193421602E-1,4.307080805E-1,8.874381065E0,8.894717342E0
1.444800380E-1,-4.289134443E-1,4.163511395E-1,8.860622406E0,8.880762604E0
1.465534120E-1,-4.432703853E-1,4.211367965E-1,8.884550095E0,8.905564284E0
