"Time_s","LinearA_x_m/s/s)","LinearA_y_m/s/s","LinearA_z_m/s/s","AbsA_m/s/s"
3.191103500E-2,-6.483898759E-1,-9.340127707E-1,1.512966156E-1,1.147030929E0
4.824850200E-2,-5.908645391E-1,-9.699357152E-1,2.832603455E-2,1.136089151E0
6.484304700E-2,-5.152602792E-1,-9.800066352E-1,-2.364730835E-2,1.107458963E0
8.143669500E-2,-5.794255137E-1,-9.566339254E-1,2.494907379E-2,1.118706776E0
9.803069000E-2,-6.540714502E-1,-9.669194221E-1,8.316516876E-2,1.170324347E0
1.146242270E-1,-7.603295445E-1,-9.432485700E-1,8.867549896E-2,1.214776615E0
1.312188520E-1,-8.391333818E-1,-9.647346735E-1,1.224908829E-1,1.284469478E0
1.478123780E-1,-7.946953773E-1,-9.491876364E-1,2.602005005E-2,1.238214422E0
1.644067700E-1,-7.306116223E-1,-9.258429408E-1,9.984970093E-4,1.179397936E0
1.810000930E-1,-7.382798791E-1,-8.369596004E-1,7.667446136E-2,1.118676685E0
1.975947390E-1,-7.261784673E-1,-8.705741763E-1,8.091163635E-2,1.136565553E0
2.141840850E-1,-7.147835493E-1,-9.390041828E-1,6.198310852E-2,1.181730208E0
2.307864820E-1,-7.121954560E-1,-9.518542290E-1,8.097171783E-2,1.191555815E0
2.473757450E-1,-6.962479949E-1,-9.452638626E-1,6.582641602E-2,1.175847846E0
2.639704830E-1,-6.389108300E-1,-9.570636153E-1,4.164409637E-2,1.151482541E0
2.805639580E-1,-6.602422595E-1,-9.798967838E-1,8.467292786E-2,1.184604176E0
2.971578110E-1,-7.326238155E-1,-9.421284199E-1,9.437656403E-2,1.197184426E0
3.137515310E-1,-7.287389636E-1,-9.061843753E-1,4.680728912E-2,1.163796168E0
3.303462470E-1,-7.018425465E-1,-9.862734079E-1,-4.855155945E-3,1.210513018E0
3.469396720E-1,-6.722900867E-1,-1.008081794E0,-1.098384857E-1,1.216662384E0
3.635336880E-1,-6.378639340E-1,-1.016219616E0,-1.583547592E-1,1.210226812E0
3.801276610E-1,-6.913685799E-1,-9.900720119E-1,-8.143997192E-2,1.210316310E0
3.967217080E-1,-7.757933140E-1,-9.805629253E-1,-2.453422546E-2,1.250584201E0
4.133153770E-1,-7.116909027E-1,-9.597007632E-1,-6.357383728E-2,1.196482816E0
4.299094720E-1,-6.972882748E-1,-9.108487368E-1,-4.564666748E-2,1.148015670E0
4.465030610E-1,-7.598809004E-1,-8.297827244E-1,2.568626404E-2,1.125441307E0
4.630975840E-1,-7.429436445E-1,-8.318035007E-1,8.282756805E-2,1.118357156E0
4.796913640E-1,-7.712534070E-1,-8.902278543E-1,1.660537720E-2,1.177969944E0
4.962854100E-1,-8.132613897E-1,-8.595231771E-1,3.614044189E-2,1.183841337E0
5.128792520E-1,-8.151827455E-1,-8.426397443E-1,1.251506805E-2,1.172485085E0
