"Time","PosX","PosY","PosZ","AbsolutePoz"
4.018388300E-2,1.913890839E-1,-6.050003767E-1,-2.985820770E-1,7.012891657E-1
5.676416400E-2,1.540956497E-1,-5.526302457E-1,-2.437524796E-1,6.233465561E-1
7.334161800E-2,1.377792358E-1,-4.906680882E-1,-2.262635231E-1,5.576140892E-1
8.995167600E-2,1.845531464E-1,-6.871492863E-1,-3.167362213E-1,7.788169485E-1
1.065455590E-1,1.828050613E-1,-6.156199574E-1,-3.097467422E-1,7.129857409E-1
1.231387590E-1,1.675548553E-1,-5.728511214E-1,-2.690572739E-1,6.546944734E-1
1.397232530E-1,1.883182526E-1,-7.216159701E-1,-2.978372574E-1,8.030569124E-1
1.563236250E-1,1.452274323E-1,-6.551032066E-1,-2.556924820E-1,7.180737175E-1
1.729239070E-1,2.082691193E-1,-6.745761037E-1,-3.475666046E-1,7.869126320E-1
1.895132220E-1,2.201175690E-1,-7.467190027E-1,-3.339524269E-1,8.470922244E-1
2.060919470E-1,1.747140884E-1,-5.748194456E-1,-2.804160118E-1,6.630049377E-1
2.227022090E-1,1.628093719E-1,-6.468539238E-1,-2.728290558E-1,7.206681511E-1
2.392853390E-1,2.045660019E-1,-7.140964270E-1,-3.386473656E-1,8.163718481E-1
2.558877970E-1,2.404899597E-1,-6.569320560E-1,-3.932242393E-1,8.025088468E-1
2.724723920E-1,1.704902649E-1,-6.236460209E-1,-2.764120102E-1,7.031393099E-1
2.890748600E-1,1.275215149E-1,-5.806854367E-1,-2.152872086E-1,6.323020602E-1
3.056710010E-1,1.352539062E-1,-6.574662924E-1,-2.432570457E-1,7.139534544E-1
3.222624420E-1,1.486635208E-1,-6.434357166E-1,-2.441468239E-1,7.040724646E-1
3.388567010E-1,1.629896164E-1,-5.960714817E-1,-2.554440498E-1,6.686691925E-1
3.554501460E-1,1.343889236E-1,-5.105490088E-1,-2.234988213E-1,5.732995695E-1
3.720449150E-1,1.659307480E-1,-5.400186777E-1,-2.660670280E-1,6.244556420E-1
3.886370470E-1,1.762027740E-1,-4.260275960E-1,-2.817902565E-1,5.403264558E-1
4.052319060E-1,1.773910522E-1,-5.079586506E-1,-2.817769051E-1,6.073613425E-1
4.218244670E-1,1.790742874E-1,-5.995080471E-1,-3.271660805E-1,7.060560482E-1
4.384193770E-1,1.894931793E-1,-5.419559479E-1,-3.424477577E-1,6.685015940E-1
4.550115500E-1,1.800422668E-1,-3.127372563E-1,-3.174071312E-1,4.805903622E-1
4.716068270E-1,1.942768097E-1,-3.753524423E-1,-3.102383614E-1,5.242907357E-1
4.881992040E-1,2.280673981E-1,-4.282515645E-1,-3.876667023E-1,6.210471903E-1
5.047940520E-1,2.106695175E-1,-5.959399939E-1,-3.893179893E-1,7.423574737E-1
5.213863280E-1,2.374782562E-1,-3.855366409E-1,-4.127721786E-1,6.127114289E-1
5.379813610E-1,1.959600449E-1,-5.721418858E-1,-3.572874069E-1,7.024250620E-1
5.545737480E-1,2.635107040E-1,-7.155551314E-1,-4.584865570E-1,8.897566860E-1
5.711685760E-1,2.182474136E-1,-7.057206631E-1,-4.011816978E-1,8.406071273E-1
5.877582480E-1,2.681951523E-1,-7.626669407E-1,-4.694981575E-1,9.348893100E-1
6.043582430E-1,1.869621277E-1,-6.904297471E-1,-3.136024475E-1,7.810214901E-1
6.209484540E-1,1.484575272E-1,-3.548489213E-1,-2.544655800E-1,4.612050799E-1
6.375326420E-1,1.236238480E-1,-2.391505539E-1,-2.095704079E-1,3.411679925E-1
6.541353950E-1,2.002563477E-1,-5.443279743E-1,-3.631138802E-1,6.842859332E-1
6.707302250E-1,2.436437607E-1,-6.533223391E-1,-4.231119156E-1,8.156077819E-1
6.873228150E-1,1.664142609E-1,-5.995758176E-1,-2.813396454E-1,6.828886171E-1
7.039179280E-1,1.630325317E-1,-6.656138301E-1,-2.982182503E-1,7.473657083E-1
7.205097160E-1,1.429796219E-1,-6.029089093E-1,-2.560706139E-1,6.704584137E-1
7.371050230E-1,1.608190536E-1,-7.835645676E-1,-2.864742279E-1,8.496491528E-1
7.536975620E-1,1.581735611E-1,-9.547343850E-1,-2.800793648E-1,1.007462690E0
7.702922380E-1,1.569423676E-1,-9.201897383E-1,-2.373614311E-1,9.631824906E-1
7.868843510E-1,1.926994324E-1,-8.856431842E-1,-3.342571259E-1,9.660355827E-1
8.034793020E-1,1.358308792E-1,-8.416193724E-1,-2.255063057E-1,8.818312138E-1
8.200721370E-1,1.239967346E-1,-7.402831912E-1,-2.256760597E-1,7.837882860E-1
8.366668630E-1,1.208820343E-1,-7.394551039E-1,-1.998825073E-1,7.754736189E-1
8.532558740E-1,1.263103485E-1,-6.095468998E-1,-2.303714752E-1,6.637565395E-1
8.698539890E-1,1.824731827E-1,-9.486994147E-1,-3.296456337E-1,1.020780724E0
8.864464060E-1,1.074905396E-1,-5.799182653E-1,-2.013244629E-1,6.232101972E-1
9.030412460E-1,1.927137375E-1,-9.002072811E-1,-3.308553696E-1,9.782520172E-1
9.196341620E-1,1.499481201E-1,-6.800963879E-1,-2.591772079E-1,7.430937765E-1
9.362285320E-1,1.692075729E-1,-8.285057545E-1,-2.874794006E-1,8.931390674E-1
9.528210730E-1,1.629390717E-1,-7.615414262E-1,-2.961597443E-1,8.331897017E-1
9.694151690E-1,1.580553055E-1,-8.953924775E-1,-2.800583839E-1,9.513894401E-1
9.860088580E-1,1.340808868E-1,-6.799799204E-1,-2.365150452E-1,7.323180613E-1
1.002603260E0,1.579036713E-1,-7.565433383E-1,-2.899818420E-1,8.254579704E-1
1.019191954E0,1.860609055E-1,-8.666077852E-1,-3.431005478E-1,9.504450010E-1
1.035790475E0,1.823644638E-1,-7.182721496E-1,-3.301644325E-1,8.112830770E-1
1.052382700E0,2.248363495E-1,-9.192110300E-1,-3.927869797E-1,1.024588656E0
1.068976714E0,1.361122131E-1,-6.131101847E-1,-2.446889877E-1,6.740202770E-1
1.085568441E0,1.740550995E-1,-8.524178267E-1,-2.828016281E-1,9.148158775E-1
1.102167929E0,1.455898285E-1,-8.380408883E-1,-2.545075417E-1,8.878530382E-1
1.118757182E0,1.750793457E-1,-7.233266830E-1,-2.898836136E-1,7.986781436E-1
1.135352225E0,2.039270401E-1,-9.052160978E-1,-3.441514969E-1,9.896679616E-1
1.151944745E0,1.806468964E-1,-7.468591332E-1,-3.256673813E-1,8.345604288E-1
1.168539624E0,1.995668411E-1,-7.474959493E-1,-3.348608017E-1,8.430355122E-1
1.185131685E0,1.950435638E-1,-8.287552595E-1,-3.305268288E-1,9.133045804E-1
1.201726606E0,1.851348877E-1,-8.957571387E-1,-3.150086403E-1,9.674121261E-1
1.218319390E0,1.482009888E-1,-7.042179108E-1,-2.393102646E-1,7.583902700E-1
1.234914188E0,1.991605759E-1,-8.714558482E-1,-3.336482048E-1,9.541600259E-1
1.251503646E0,1.648845673E-1,-8.090841174E-1,-2.882943153E-1,8.745957019E-1
1.268101506E0,1.541280746E-1,-7.514990568E-1,-2.582139969E-1,8.094323715E-1
1.284696344E0,1.712884903E-1,-7.608414888E-1,-2.836346626E-1,8.298603135E-1
1.301286149E0,1.551456451E-1,-7.415558696E-1,-2.912321091E-1,8.116596702E-1
1.317883499E0,1.960592270E-1,-7.844523191E-1,-3.412804604E-1,8.776542680E-1
1.334473018E0,1.997833252E-1,-9.229573011E-1,-3.580775261E-1,1.009942113E0
1.351071459E0,1.653203964E-1,-7.742613554E-1,-3.130254745E-1,8.513497681E-1
1.367660224E0,1.543865204E-1,-7.834400535E-1,-2.766885757E-1,8.450858436E-1
1.384258348E0,1.628103256E-1,-7.303105593E-1,-2.696323395E-1,7.953378613E-1
1.400857776E0,1.651849747E-1,-6.580229402E-1,-2.857880592E-1,7.361759847E-1
1.417440671E0,1.825332642E-1,-7.196951509E-1,-3.019809723E-1,8.015435174E-1
1.434037779E0,1.764364243E-1,-6.755542755E-1,-3.339319229E-1,7.739598957E-1
1.450630085E0,1.848049164E-1,-8.327875137E-1,-3.371939659E-1,9.172718631E-1
1.467224863E0,1.891689301E-1,-8.272626400E-1,-3.461585045E-1,9.165009928E-1
1.483811014E0,1.748504639E-1,-8.224216700E-1,-3.165898323E-1,8.984315276E-1
1.500409628E0,1.491909027E-1,-7.213140130E-1,-2.850327492E-1,7.898072543E-1
1.517007202E0,1.525344849E-1,-6.680122614E-1,-2.577462196E-1,7.320794111E-1
1.533597931E0,1.557435989E-1,-6.865366697E-1,-2.705326080E-1,7.541727650E-1
1.550193870E0,1.840705872E-1,-6.947904825E-1,-3.088603020E-1,7.823109879E-1
1.566790000E0,1.636962891E-1,-7.616493106E-1,-2.823514938E-1,8.286305048E-1
1.583376059E0,1.389961243E-1,-6.844357252E-1,-2.418336868E-1,7.390911423E-1
1.599975263E0,1.652097702E-1,-8.034453392E-1,-3.067097664E-1,8.757223088E-1
1.616565321E0,1.686687469E-1,-8.364009857E-1,-2.939457893E-1,9.024521495E-1
1.633162152E0,1.657791138E-1,-8.310097456E-1,-2.949242592E-1,8.972403415E-1
1.649753687E0,1.451158524E-1,-7.443823814E-1,-2.578878403E-1,8.010429942E-1
1.666346125E0,1.761846542E-1,-8.102192879E-1,-3.074889183E-1,8.843335127E-1
1.682933253E0,1.842336655E-1,-8.198186159E-1,-3.049736023E-1,8.938979274E-1
1.699536005E0,1.921567917E-1,-8.090314865E-1,-3.261785507E-1,8.932237266E-1
1.716128291E0,1.470384598E-1,-8.376153708E-1,-2.839040756E-1,8.965608413E-1
1.732721015E0,1.461343765E-1,-7.078566551E-1,-2.628717422E-1,7.691019783E-1
1.749307389E0,1.595058441E-1,-7.592228055E-1,-2.910184860E-1,8.285850239E-1
1.765910814E0,1.534214020E-1,-8.117533922E-1,-2.841138840E-1,8.736145577E-1
1.782492297E0,1.623935699E-1,-7.959989905E-1,-2.975544930E-1,8.651732432E-1
1.799097196E0,1.614227295E-1,-6.661087871E-1,-2.870144844E-1,7.430582266E-1
1.815686409E0,1.836805344E-1,-7.754675150E-1,-2.980151176E-1,8.508239629E-1
1.832286986E0,1.713247299E-1,-7.986797690E-1,-2.933430672E-1,8.679237821E-1
1.848858123E0,1.499547958E-1,-7.309956551E-1,-2.752652168E-1,7.953691144E-1
1.865472188E0,1.437530518E-1,-8.168866038E-1,-2.633781433E-1,8.702509464E-1
1.882064961E0,1.332254410E-1,-6.958644986E-1,-2.512454987E-1,7.517318133E-1
1.898659607E0,1.694412231E-1,-7.906987667E-1,-2.871241570E-1,8.581113851E-1
1.915253194E0,1.439590454E-1,-7.946693897E-1,-2.989225388E-1,8.611494237E-1
1.931846824E0,1.476211548E-1,-7.938917279E-1,-2.779531479E-1,8.539988486E-1
1.948429373E0,1.324176788E-1,-7.507890463E-1,-2.468404770E-1,8.013419088E-1
1.965034242E0,1.551332474E-1,-8.498712182E-1,-2.835803032E-1,9.092662978E-1
1.981631319E0,1.677465439E-1,-7.916139960E-1,-3.062472343E-1,8.652045944E-1
1.998221214E0,1.527194977E-1,-7.717156410E-1,-2.850222588E-1,8.367233495E-1
